slug,video_id,title,recorded_on,published_at,year,speakers,num_languages,url
alec_soth_and_stacey_baker_this_is_what_enduring_love_looks_like,2300,כך נראית אהבה רבת-שנים,2015-03-18,2015-07-15T14:49:51Z,2015,אלק סות' וסטייסי בייקר,33,https://www.ted.com/talks/alec_soth_and_stacey_baker_this_is_what_enduring_love_looks_like
johann_hari_everything_you_think_you_know_about_addiction_is_wrong,2299,כל מה שאתם חושבים שאתם יודעים על התמכרות אינו נכון,2015-06-16,2015-07-09T15:02:10Z,2015,יוהאן הארי,36,https://www.ted.com/talks/johann_hari_everything_you_think_you_know_about_addiction_is_wrong
memory_banda_a_warrior_s_cry_against_child_marriage,2295,זעקתה של לוחמת נגד נישואי ילדות,2015-05-29,2015-07-07T15:06:06Z,2015,ממורי בנדה,38,https://www.ted.com/talks/memory_banda_a_warrior_s_cry_against_child_marriage
dame_ellen_macarthur_the_surprising_thing_i_learned_sailing_solo_around_the_world,2292,הדברים המפתיעים שלמדתי כששטתי לבד סביב העולם,2015-03-20,2015-06-29T15:19:02Z,2015,הגברת אלן מקארתור,27,https://www.ted.com/talks/dame_ellen_macarthur_the_surprising_thing_i_learned_sailing_solo_around_the_world
chip_kidd_the_art_of_first_impressions_in_design_and_life,2287,האומנות של רושם ראשוני - בעיצוב ובחיים,2015-05-12,2015-06-23T14:59:40Z,2015,צ'יפ קיד,30,https://www.ted.com/talks/chip_kidd_the_art_of_first_impressions_in_design_and_life
donald_hoffman_do_we_see_reality_as_it_is,2277,האם אנו רואים את מציאות כפי שהיא?,2015-03-18,2015-06-11T15:37:45Z,2015,דונלד הופמן,33,https://www.ted.com/talks/donald_hoffman_do_we_see_reality_as_it_is
tony_fadell_the_first_secret_of_design_is_noticing,2274,הסוד הראשון בעיצוב הוא... להבחין,2015-03-25,2015-06-03T14:59:03Z,2015,טוני פאדל,31,https://www.ted.com/talks/tony_fadell_the_first_secret_of_design_is_noticing
roman_mars_why_city_flags_may_be_the_worst_designed_thing_you_ve_never_noticed,2253,למה דגלי עיר עשויים להיות הדבר הגרוע ביותר שתוכנן שמעולם לא שמתם לב אליו,2015-03-25,2015-05-14T15:12:54Z,2015,רומן מארס,29,https://www.ted.com/talks/roman_mars_why_city_flags_may_be_the_worst_designed_thing_you_ve_never_noticed
sophie_scott_why_we_laugh,2236, למה אנחנו צוחקים,2015-03-20,2015-04-30T15:00:30Z,2015,סופי סקוט,35,https://www.ted.com/talks/sophie_scott_why_we_laugh
chris_milk_how_virtual_reality_can_create_the_ultimate_empathy_machine,2228,איך מציאות מדומה יכולה ליצור את מכונת האמפטיה המושלמת,2015-03-18,2015-04-22T14:59:43Z,2015,כריס מילק,31,https://www.ted.com/talks/chris_milk_how_virtual_reality_can_create_the_ultimate_empathy_machine
monica_lewinsky_the_price_of_shame,2217,מחיר הבושה,2015-03-19,2015-03-20T23:27:11Z,2015,מוניקה לווינסקי,41,https://www.ted.com/talks/monica_lewinsky_the_price_of_shame
anastasia_taylor_lind_fighters_and_mourners_of_the_ukrainian_revolution,2146,לוחמים ואבלים במהפכה האוקראינית ,2014-10-14,2014-12-09T15:50:58Z,2014,אנסטסיה טיילור-לינד,34,https://www.ted.com/talks/anastasia_taylor_lind_fighters_and_mourners_of_the_ukrainian_revolution
pico_iyer_the_art_of_stillness,2025,האמנות של חוסר תנועה,2014-08-12,2014-11-26T16:00:32Z,2014,פיקו לייר,32,https://www.ted.com/talks/pico_iyer_the_art_of_stillness
michael_green_what_the_social_progress_index_can_reveal_about_your_country,2134,מה מדד הקידמה החברתית יכול לחשוף על המדינה שלך,2014-10-08,2014-11-11T15:55:31Z,2014,מייקל גרין,30,https://www.ted.com/talks/michael_green_what_the_social_progress_index_can_reveal_about_your_country
frans_lanting_photos_that_give_voice_to_the_animal_kingdom,2117,תמונות שנותנות קול לממלכת החי,2014-03-11,2014-10-29T15:08:20Z,2014,פראנס לנטינג,44,https://www.ted.com/talks/frans_lanting_photos_that_give_voice_to_the_animal_kingdom
kitra_cahana_my_father_locked_in_his_body_but_soaring_free,2111,"אבי, נעול בגופו אך מרחף בחופשיות",2014-09-15,2014-10-17T15:00:32Z,2014,כיתרא כהנא,27,https://www.ted.com/talks/kitra_cahana_my_father_locked_in_his_body_but_soaring_free
glenn_greenwald_why_privacy_matters,2106,מדוע הפרטיות חשובה,2014-10-02,2014-10-10T13:11:03Z,2014,גלן גרינוולד,34,https://www.ted.com/talks/glenn_greenwald_why_privacy_matters
eman_mohammed_the_courage_to_tell_a_hidden_story,2095,האומץ לספר סיפור נעלם.,2014-03-14,2014-09-24T15:10:02Z,2014,אימאן מוחמד,44,https://www.ted.com/talks/eman_mohammed_the_courage_to_tell_a_hidden_story
zak_ebrahim_i_am_the_son_of_a_terrorist_here_s_how_i_chose_peace,2024,אני בנו של מחבל. כך בחרתי בשלום.,2014-03-12,2014-09-09T13:11:14Z,2014,זאק איברהים,41,https://www.ted.com/talks/zak_ebrahim_i_am_the_son_of_a_terrorist_here_s_how_i_chose_peace
ze_frank_are_you_human,2049,האם אנחנו אנושיים,2014-03-20,2014-07-18T15:08:53Z,2014,זה פרנק,48,https://www.ted.com/talks/ze_frank_are_you_human
shih_chieh_huang_sculptures_that_d_be_at_home_in_the_deep_sea,2047,פסלים שיחושו בבית בקרקעית הים,2014-03-17,2014-07-16T15:06:42Z,2014,ש'יי צ'ייא הוואנג,33,https://www.ted.com/talks/shih_chieh_huang_sculptures_that_d_be_at_home_in_the_deep_sea
david_chalmers_how_do_you_explain_consciousness,2045,איך מסבירים את המודעות?,2014-03-18,2014-07-14T15:08:04Z,2014,דיויד צ'אלמרז,35,https://www.ted.com/talks/david_chalmers_how_do_you_explain_consciousness
paul_bloom_can_prejudice_ever_be_a_good_thing,2037,האם אפשר למצוא משהו טוב בדעות קדומות?,2014-01-15,2014-07-03T15:00:05Z,2014,פול בלום,29,https://www.ted.com/talks/paul_bloom_can_prejudice_ever_be_a_good_thing
simon_anholt_which_country_does_the_most_good_for_the_world,2036,איזו מדינה עושה הכי הרבה טוב עבור העולם?,2014-06-23,2014-07-02T14:58:54Z,2014,סימון אנהולט,32,https://www.ted.com/talks/simon_anholt_which_country_does_the_most_good_for_the_world
julian_treasure_how_to_speak_so_that_people_want_to_listen,2034,כיצד לדבר בצורה שבא אנשים ירצו להאזין,2013-06-10,2014-06-27T14:38:17Z,2013,ג'וליאן טראז'ור,49,https://www.ted.com/talks/julian_treasure_how_to_speak_so_that_people_want_to_listen
billy_collins_two_poems_about_what_dogs_think_probably,2031,שתי פואמות על מה כלבים חושבים (כנראה),2014-03-20,2014-06-20T15:12:05Z,2014,בילי קולינס,37,https://www.ted.com/talks/billy_collins_two_poems_about_what_dogs_think_probably
kwame_anthony_appiah_is_religion_good_or_bad_this_is_a_trick_question,2011,האם הדת טובה או רעה? (זו שאלה מכשילה),2014-05-15,2014-06-16T15:04:07Z,2014,קוואמי אנטורי אפיה,29,https://www.ted.com/talks/kwame_anthony_appiah_is_religion_good_or_bad_this_is_a_trick_question
dan_gilbert_the_psychology_of_your_future_self,2012,הפסיכולוגיה של העצמי העתידי שלכם,2014-03-18,2014-06-03T14:56:03Z,2014,דן גילברט,44,https://www.ted.com/talks/dan_gilbert_the_psychology_of_your_future_self
simon_sinek_why_good_leaders_make_you_feel_safe,1998,מדוע מנהיגים דגולים מעוררים בטחון?,2014-03-14,2014-05-19T15:00:43Z,2014,סיימון סייניק,45,https://www.ted.com/talks/simon_sinek_why_good_leaders_make_you_feel_safe
kevin_briggs_the_bridge_between_suicide_and_life,1997,הגשר שבין ההתאבדות לחיים,2014-03-18,2014-05-14T15:10:53Z,2014,קווין בריגס,41,https://www.ted.com/talks/kevin_briggs_the_bridge_between_suicide_and_life
randall_munroe_comics_that_ask_what_if,1993,"קומיקס ששואל ""מה אם?""",2014-03-20,2014-05-08T14:57:50Z,2014,רנדל מונרו,29,https://www.ted.com/talks/randall_munroe_comics_that_ask_what_if
louie_schwartzberg_hidden_miracles_of_the_natural_world,1969,הפלאים החבויים של עולם הטבע,2014-03-19,2014-04-09T14:53:25Z,2014,לואי שוורצברג,40,https://www.ted.com/talks/louie_schwartzberg_hidden_miracles_of_the_natural_world
toby_shapshak_you_don_t_need_an_app_for_that,1944,אתם לא צריכים אפליקציה בשביל זה,2013-07-17,2014-03-13T14:55:49Z,2013,טובי שפשק,34,https://www.ted.com/talks/toby_shapshak_you_don_t_need_an_app_for_that
christopher_soghoian_government_surveillance_this_is_just_the_beginning,1940,מעקב ממשלתי -- זו רק ההתחלה,2013-08-12,2014-03-05T16:07:18Z,2013,כריסטופר סוגהויאן,32,https://www.ted.com/talks/christopher_soghoian_government_surveillance_this_is_just_the_beginning
annette_heuser_the_3_agencies_with_the_power_to_make_or_break_economies,1937,שלושת הסוכנויות בעלות הכוח לשבור או לבנות כלכלות - אנט הויזר.,2013-06-07,2014-02-28T15:44:28Z,2013,Annette Heuser,30,https://www.ted.com/talks/annette_heuser_the_3_agencies_with_the_power_to_make_or_break_economies
michael_metcalfe_we_need_money_for_aid_so_let_s_print_it,1929,אנו זקוקים לכספי סיוע; אז בואו נדפיס אותם.,2013-11-06,2014-02-26T16:15:01Z,2013,מייקל מטקאלף,24,https://www.ted.com/talks/michael_metcalfe_we_need_money_for_aid_so_let_s_print_it
catherine_bracy_why_good_hackers_make_good_citizens,1933,למה האקרים טובים הם גם אזרחים טובים,2013-09-20,2014-02-25T16:07:00Z,2013,קטרין ברייסי,28,https://www.ted.com/talks/catherine_bracy_why_good_hackers_make_good_citizens
roselinde_torres_what_it_takes_to_be_a_great_leader,1930,מה דרוש כדי להיות מנהיג דגול?,2013-10-30,2014-02-19T16:00:16Z,2013,רוזלינד טורס,35,https://www.ted.com/talks/roselinde_torres_what_it_takes_to_be_a_great_leader
sandra_aamodt_why_dieting_doesn_t_usually_work,1900,למה דיאטה  לא עובדת בדרך כלל,2013-06-11,2014-01-08T16:00:48Z,2013,סנדרה אמודט,40,https://www.ted.com/talks/sandra_aamodt_why_dieting_doesn_t_usually_work
boyd_varty_what_i_learned_from_nelson_mandela,1890,מה שלמדתי מנלסון מנדלה.,2013-12-05,2013-12-09T16:07:15Z,2013,בויד ווארטי,37,https://www.ted.com/talks/boyd_varty_what_i_learned_from_nelson_mandela
sally_kohn_let_s_try_emotional_correctness,1883,בואו ניתן צ'אנס לתקינות הרגשית,2013-10-14,2013-12-04T16:05:54Z,2013,סאלי קון,39,https://www.ted.com/talks/sally_kohn_let_s_try_emotional_correctness
david_steindl_rast_want_to_be_happy_be_grateful,1880,רוצים להיות מאושרים? היו אסירי-תודה,2013-06-25,2013-11-27T15:59:04Z,2013,דייוויד סטיינדל-רסט,45,https://www.ted.com/talks/david_steindl_rast_want_to_be_happy_be_grateful
chris_downey_design_with_the_blind_in_mind,1863,תכנון במחשבה על העיוורים,2013-10-11,2013-11-12T16:16:29Z,2013,כריס דאוני,30,https://www.ted.com/talks/chris_downey_design_with_the_blind_in_mind
gregoire_courtine_the_paralyzed_rat_that_walked,1860,החולדה המשותקת שהלכה,2013-06-13,2013-11-06T16:15:02Z,2013,גרגור קורטין,27,https://www.ted.com/talks/gregoire_courtine_the_paralyzed_rat_that_walked
malcolm_gladwell_the_unheard_story_of_david_and_goliath,1831,התאוריה הלא  ידועה על דויד וגוליית,2013-09-19,2013-09-30T15:08:14Z,2013,מלקולם גלדוול,36,https://www.ted.com/talks/malcolm_gladwell_the_unheard_story_of_david_and_goliath
james_flynn_why_our_iq_levels_are_higher_than_our_grandparents,1828,למה רמת ה-IQ שלנו גבוהה יותר משל סבינו,2013-03-01,2013-09-26T15:10:46Z,2013,ג'יימס פלין,34,https://www.ted.com/talks/james_flynn_why_our_iq_levels_are_higher_than_our_grandparents
kelly_mcgonigal_how_to_make_stress_your_friend,1815,איך להתיידד עם הלחץ,2013-06-11,2013-09-04T14:59:43Z,2013,קלי מק'גוניגל,50,https://www.ted.com/talks/kelly_mcgonigal_how_to_make_stress_your_friend
russell_foster_why_do_we_sleep,1810,למה אנחנו ישנים ?,2013-06-13,2013-08-14T14:53:51Z,2013,ראסל פוסטר,38,https://www.ted.com/talks/russell_foster_why_do_we_sleep
eleanor_longden_the_voices_in_my_head,1800,הקולות שבראשי,2013-02-28,2013-08-08T15:00:37Z,2013,אלינור לונגדון,39,https://www.ted.com/talks/eleanor_longden_the_voices_in_my_head
tania_luna_how_a_penny_made_me_feel_like_a_millionaire,1797,איך פֶּני גרם לי להרגיש כמו מיליונרית,2012-07-12,2013-07-26T15:00:40Z,2012,טניה לונה,43,https://www.ted.com/talks/tania_luna_how_a_penny_made_me_feel_like_a_millionaire
roberto_d_angelo_francesca_fedeli_in_our_baby_s_illness_a_life_lesson,1796,רוברטו ד'אנג'לו ופרנצ'סקה פדלי: לקח לחיים ממחלתו של ילדנו,2013-06-11,2013-07-24T14:58:32Z,2013,Roberto D'Angelo + Francesca Fedeli,39,https://www.ted.com/talks/roberto_d_angelo_francesca_fedeli_in_our_baby_s_illness_a_life_lesson
pico_iyer_where_is_home,1789,פיקו אייר:  איפה הבית?,2013-06-20,2013-07-17T14:59:15Z,2013,Pico Iyer,36,https://www.ted.com/talks/pico_iyer_where_is_home
bernie_krause_the_voice_of_the_natural_world,1788,קולו של עולם הטבע,2013-06-12,2013-07-15T15:02:42Z,2013,ברני קראוזה,28,https://www.ted.com/talks/bernie_krause_the_voice_of_the_natural_world
lisa_bu_how_books_can_open_your_mind,1755,ליסה בּוּ : איך ספרים יכולים לפתוח לך את הראש,2013-02-28,2013-05-31T15:09:17Z,2013,Lisa Bu,50,https://www.ted.com/talks/lisa_bu_how_books_can_open_your_mind
sergey_brin_why_google_glass,1745,סרגי ברין: למה גוגל גלאס?,2013-02-27,2013-05-17T15:03:29Z,2013,Sergey Brin,38,https://www.ted.com/talks/sergey_brin_why_google_glass
angela_lee_duckworth_grit_the_power_of_passion_and_perseverance,1733,אנגלה לי דוקוורט: המפתח להצלחה? נחישות,2013-04-04,2013-05-09T14:59:48Z,2013,Angela Lee Duckworth,50,https://www.ted.com/talks/angela_lee_duckworth_grit_the_power_of_passion_and_perseverance
shaolan_learn_to_read_chinese_with_ease,1736,שאולאן הסואה: ללמוד לקרוא סינית בקלות.,2013-02-26,2013-05-07T15:13:31Z,2013,ShaoLan,50,https://www.ted.com/talks/shaolan_learn_to_read_chinese_with_ease
juan_enriquez_your_online_life_permanent_as_a_tattoo,1730,"חואן אנריקז: החיים המקוונים שלכם, קבועים כמו קעקוע",2013-02-26,2013-05-02T14:57:57Z,2013,Juan Enriquez,41,https://www.ted.com/talks/juan_enriquez_your_online_life_permanent_as_a_tattoo
